,Problem,Local Search Type,Result
274,R201,20p10LS,1100.2525785594687
275,R201,20p10LS,1104.2244366892203
276,R201,20p10LS,1108.6846843725662
277,R201,20p10LS,1088.7518107064811
278,R201,20p10LS,1097.9727236665528
279,R201,20p10LS,1101.137440154105
280,R201,20p10LS,1096.9359561832985
281,R201,20p10LS,1095.7559031566184
282,R201,20p10LS,1092.3098697477067
283,R201,20p10LS,1097.0951831945065
284,RC101,10LS,518.4993134105661
285,RC101,10LS,518.4993134105661
286,RC101,10LS,518.4993134105661
287,RC101,10LS,518.4993134105661
288,RC101,10LS,518.4993134105661
289,RC101,10LS,518.4993134105661
290,RC101,10LS,518.4993134105661
291,RC101,10LS,518.4993134105661
292,RC101,10LS,518.4993134105661
293,RC101,10LS,518.4993134105661
294,RC101,0LS,519.296443075071
295,RC101,0LS,518.4993134105661
296,RC101,0LS,519.939209410623
297,RC101,0LS,518.4993134105661
298,RC101,0LS,518.4993134105661
299,RC101,0LS,518.4993134105661
300,RC101,0LS,518.4993134105661
301,RC101,0LS,519.939209410623
302,RC101,0LS,519.142079746119
303,RC101,0LS,518.4993134105661
304,RC101,0LS,518.499313410566
305,RC101,0LS,519.9392094106231
306,RC101,0LS,519.1420797461185
307,RC101,0LS,519.1619609719462
308,RC101,0LS,518.499313410566
309,RC101,0LS,518.499313410566
310,RC101,0LS,519.1420797461185
311,RC101,0LS,519.1420797461185
312,RC101,0LS,519.1420797461185
313,RC101,2LS,518.4993134105661
314,RC101,2LS,519.296443075071
315,RC101,2LS,518.4993134105661
316,RC101,2LS,519.142079746119
317,RC101,2LS,518.4993134105661
318,RC101,2LS,519.142079746119
319,RC101,2LS,519.142079746119
320,RC101,2LS,519.142079746119
321,RC101,2LS,518.4993134105661
322,RC101,2LS,518.4993134105661
323,RC101,20p10LS,519.142079746119
324,RC101,20p10LS,519.142079746119
325,RC101,20p10LS,519.142079746119
326,RC101,20p10LS,519.939209410623
327,RC101,20p10LS,519.142079746119
328,RC101,20p10LS,519.142079746119
329,RC101,20p10LS,518.4993134105661
330,RC101,20p10LS,519.296443075071
331,RC101,20p10LS,519.142079746119
332,RC101,20p10LS,518.4993134105661
333,RC101,20p10LS,1018.499313410566
334,RC101,20p10LS,1019.1420797461187
335,RC101,20p10LS,1018.499313410566
336,RC101,20p10LS,1018.499313410566
337,RC101,20p10LS,1019.1420797461185
338,RC101,20p10LS,1018.499313410566
339,RC101,20p10LS,1018.499313410566
340,RC101,20p10LS,1019.1420797461185
341,RC101,20p10LS,1019.2964430750706
342,RC101,20p10LS,1019.1420797461187
343,RC101,20p10LS,1019.1420797461185
344,RC101,20p10LS,1019.1420797461187
345,RC101,20p10LS,1019.1420797461185
346,RC101,20p10LS,1018.499313410566
347,RC101,20p10LS,1018.499313410566
348,RC101,20p10LS,1019.1420797461185
349,RC101,20p10LS,1019.1420797461185
350,RC101,20p10LS,1019.1420797461185
351,RC101,20p10LS,1019.9392094106231
352,RC101,20p10LS,1018.499313410566
353,RC101,20p10LS,1019.2964430750706
354,RC101,20p10LS,1019.1420797461185
355,RC201,10LS,518.4993134105661
356,RC201,10LS,518.4993134105661
357,RC201,10LS,518.4993134105661
358,RC201,10LS,518.4993134105661
359,RC201,10LS,518.4993134105661
360,RC201,10LS,518.4993134105661
361,RC201,10LS,518.4993134105661
362,RC201,10LS,518.4993134105661
363,RC201,10LS,518.4993134105661
364,RC201,10LS,518.4993134105661
365,RC201,0LS,519.142079746119
366,RC201,0LS,518.4993134105661
